"ID","SHIPNAME","SHIPTYPE","LONGITUDE","LATITUDE","SPEED","EQUIPMENTID"
1753431,"闽莆渔F41999","",119.26480555555555,25.18113888888889,0,"945372"
1753433,"浙三渔08882","2",121.63722222222223,28.860555555555557,0,"945786"
1753434,"闽霞渔01319","",121.92597222222223,26.9345,3.3,"964314"
1753438,"浙三渔07132","4",121.62752777777777,29.041722222222223,0,"945906"
1753440,"闽东渔64840","",117.36872222222222,23.573833333333333,0.1,"963517"
1753443,"闽霞渔03408","",122.2758888888889,29.93938888888889,0.1,"962371"
1753445,"闽莆渔00888","",119.35305555555556,24.997944444444443,9.9,"962556"
1753448,"国海联818","",122.91097222222223,35.68588888888888,11,"945182"
1754039,"浙普渔68583","",127.04880555555556,30.001472222222223,9.2,"964031"
1754040,"闽东渔61139","",117.79024999999999,23.70283333333333,8.5,"945356"
1754041,"闽东渔63289","",117.45497222222222,23.658499999999997,0.2,"963450"
1754042,"闽莆渔50886","",119.31941666666665,24.937694444444446,4.3,"945389"
1754043,"闽东渔64766","",117.39083333333333,23.006666666666668,3.5,"963443"
1754045,"闽霞渔01067","",122.17497222222222,28.413777777777774,0.6,"962304"
1754046,"闽东渔69673","",117.4288611111111,23.596444444444444,0,"962682"
1754048,"闽东渔64760","",117.52258333333333,23.059833333333334,3.5,"964205"
1754049,"闽霞渔01807","",121.16569444444444,27.282944444444443,7.5,"945562"
1754050,"闽霞渔运03676","",119.60133333333333,26.16086111111111,0,"962318"
1754051,"闽东渔69575（船卖拆解）","",117.51658333333333,23.749,0,"963345"
1754052,"闽东渔65076","",117.41302777777777,23.027666666666665,3.8,"962535"
1754053,"闽莆渔00666","",119.77055555555556,25.248916666666666,3.6,"963233"
1754055,"闽东渔61118","",117.93541666666667,22.72369444444444,1,"963411"
1754056,"闽莆渔05899","",119.26474999999999,25.178861111111114,0.1,"963281"
1754057,"闽东渔64568","",117.95572222222224,22.578000000000003,3.4,"963945"
1754059,"闽东渔63106","",117.45533333333334,23.65913888888889,0,"945244"
1754060,"闽霞渔运01566","",120.219,26.914361111111113,0.1,"963161"
1754061,"闽东渔64696","",117.32647222222222,22.99130555555556,4.1,"962524"
1754064,"闽东渔69585","",117.42855555555556,23.597722222222224,0,"964246"
1754067,"闽东渔69645","",117.42936111111112,23.59775,0,"963461"
1754070,"闽霞渔01786","",120.37813888888888,26.130750000000003,0.5,"962696"
1754602,"闽东渔64767","",117.89955555555557,23.243194444444445,2.3,"963081"
1754605,"浙普渔43438","",124.2551111111111,30.578611111111112,3.3,"964039"
1754606,"闽东渔65057","",117.18594444444444,23.037000000000003,3.8,"963723"
1754607,"闽东渔64062","",117.7133888888889,23.322333333333333,3.4,"963431"
1754609,"闽东渔64953","",117.5496388888889,22.982083333333332,3.5,"963482"
1754610,"闽东渔62266","",117.51641666666666,23.74711111111111,0.2,"964279"
865698,"浙普渔44131","",124.419,29.359833333333334,2.5,"406300"
1754611,"闽东渔64740","",117.23958333333333,23.007666666666665,4.1,"962472"
1754612,"闽东渔61691","",118.05858333333333,23.691083333333335,1.6,"963432"
1754613,"闽东渔64575","",117.63783333333335,22.919944444444447,3.4,"962469"
1754614,"浙三渔06789","1",121.57713888888888,28.809416666666667,0,"945672"
1754615,"闽东渔63185","",117.45713888888889,23.657027777777774,0.2,"945335"
1754618,"闽莆渔21881","",119.18377777777779,24.942833333333333,0.2,"963200"
